"Hugo_Symbol","Entrez_Gene_Id","HR","pvalue","qvalue"
"CCR1",1230,1.31888223276374,0.00272599585866743,0.251560466882609
"NCF2",4688,1.30179832033566,0.0027292968987226,0.251560466882609
"PTX3",5806,1.28632558355435,0.00270298858651788,0.251560466882609
"SVOP",55530,1.30734314764274,0.00271529571412886,0.251560466882609
"LRG1",116844,1.26309495731952,0.0027339071551661,0.251560466882609
"GZMB",3002,1.25011122459423,0.00283852417892614,0.253629971768488
"PTPRN2",5799,1.32037381536513,0.00283909004968258,0.253629971768488
"SNCB",6620,1.28985143795639,0.00282129846310044,0.253629971768488
"NTNG1",22854,1.38104666187932,0.00277981560900982,0.253629971768488
"SLC7A14",57709,1.34086963006746,0.00283480488934495,0.253629971768488
"MGAT5B",146664,1.30852871953301,0.00282926629107128,0.253629971768488
"CD7",924,1.31411379606791,0.00286250319767075,0.254486214235434
"JAK3",3718,1.36327433036943,0.00289320567357192,0.255979153897808
"TIMP1",7076,1.28567024160562,0.00295599713902074,0.260283327030616
"AZU1",566,1.25515275520897,0.00318805990518076,0.262490606378282
"EGR4",1961,1.32458239392958,0.00321698655879176,0.262490606378282
"GABRA6",2559,1.38751173518869,0.00314051444215947,0.262490606378282
"GNG3",2785,1.26192067220395,0.00326996845901762,0.262490606378282
"IGFBP4",3487,1.24008274510345,0.00323318490958897,0.262490606378282
"LCN2",3934,1.26533474105601,0.00301514177679925,0.262490606378282
"ROR2",4920,1.42379227125326,0.00328512493357215,0.262490606378282
"SRD5A1",6715,1.38112566961805,0.0032942172003052,0.262490606378282
"TCHH",7062,1.32046111196486,0.00312421478793355,0.262490606378282
"VSNL1",7447,1.29518091428999,0.00304588818398128,0.262490606378282
"AP3B2",8120,1.39299159157664,0.00320718595206634,0.262490606378282
"IL27RA",9466,1.41201980447433,0.00318647155815637,0.262490606378282
"OS9",10956,1.35360793965681,0.00322180128908364,0.262490606378282
"IL24",11009,1.29529214199223,0.00307945733435716,0.262490606378282
"DNAJA4",55466,1.34819313331251,0.00308639677621074,0.262490606378282
"ANKH",56172,1.29685223442646,0.00321441891896721,0.262490606378282
"NFKBIZ",64332,1.34311567707022,0.00326694416809813,0.262490606378282
"RIPPLY1",92129,1.28329747151449,0.00329486116792823,0.262490606378282
"AMICA1",120425,1.28964237820645,0.00303513734683833,0.262490606378282
"LHFPL5",222662,1.2862403465432,0.00306533716199951,0.262490606378282
"SLC9A4",389015,1.28757644248751,0.00323254599553543,0.262490606378282
"KDM7A-DT",100134229,1.34322587895356,0.00314174090198572,0.262490606378282
"BDKRB2",624,1.32112822903857,0.00334920841160204,0.26567018275307
"BPI",671,1.29768757591795,0.00338820885357713,0.267378444041728
"MT1H",4496,1.29392868172797,0.00346064368540788,0.267378444041728
"S100A8",6279,1.28340147032676,0.00346000234847356,0.267378444041728
"SLC16A3",9123,1.33822603214027,0.00347885965685501,0.267378444041728
"MICAL2",9645,1.31049699724188,0.00343325973402696,0.267378444041728
"CALY",50632,1.30577553430205,0.00348236450311462,0.267378444041728
"BMS1P20",96610,1.27983715421608,0.00343960258802084,0.267378444041728
"NRSN1",140767,1.31172475276074,0.00348697639352359,0.267378444041728
"GPBAR1",151306,1.29756532941937,0.00352165860130861,0.268917357841836
"IFNA13",3447,1.4204193842018,0.00360524384370692,0.272534509448426
"NBL1",4681,1.33354211988754,0.0035944994148113,0.272534509448426
"RBP4",5950,1.27829883615402,0.003613455431474,0.272534509448426
"FOLR3",2352,1.27337045156542,0.00366646040599069,0.273173566200189
"LBH",81606,1.47949677183009,0.0036632116000369,0.273173566200189
"EIF4E1B",253314,1.306531702041,0.00364125019211717,0.273173566200189
"IL1A",3552,1.30620379860849,0.00374197964830533,0.276560849268124
"LYZ",4069,1.30331454683749,0.00373027914329314,0.276560849268124
"FABP6",2172,1.3221045125292,0.00378637920231537,0.277759260138585
"SLC7A4",6545,1.30359956731264,0.00383366038554586,0.277759260138585
"SNCA",6622,1.28288200361729,0.00381841591930829,0.277759260138585
"LILRA6",79168,1.28742489998311,0.00382831671691032,0.277759260138585
"C5orf46",389336,1.25979883685214,0.00379532019961598,0.277759260138585
"C7orf52",375607,1.29185817519185,0.00387952558831424,0.279980036869596
"CLEC2L",154790,1.29713400818275,0.00389574624665875,0.280052414754926
